run_id,project_name,display_name,state,created_at,accuracy,loss,learning_rate,batch_size,epochs,user_id
cslqc3c5,gan-experiments,gan-experiments_run_14,running,2026-02-11T13:43:55.271639Z,0.7499,1.2026,0.0001,128,10,U0006
vs8q349d,gan-experiments,gan-experiments_run_15,finished,2026-03-02T01:30:55.271639Z,0.7707,0.9349,0.0005,64,20,U0005
n1ybwmlu,gan-experiments,gan-experiments_run_16,finished,2026-02-22T09:21:55.271639Z,0.8561,1.8221,0.0005,64,5,U0010
x7lxxezd,gan-experiments,gan-experiments_run_17,finished,2026-02-10T22:23:55.271639Z,0.6498,1.4354,0.0001,128,20,U0001
ngh8riec,gan-experiments,gan-experiments_run_18,running,2026-02-27T16:26:55.271639Z,0.8105,1.5034,0.0001,64,10,U0010
nf313fpo,gan-experiments,gan-experiments_run_19,finished,2026-02-23T18:36:55.271639Z,0.7111,1.5222,0.005,32,10,U0005
826gyup1,gan-experiments,gan-experiments_run_20,running,2026-02-14T16:49:55.271639Z,0.9768,1.6521,0.0005,64,5,U0008
5td44k1j,data-preprocessing,data-preprocessing_run_1,failed,2026-02-26T20:10:55.271639Z,0.9691,0.5219,0.005,64,5,U0007
bsi9nb74,data-preprocessing,data-preprocessing_run_2,finished,2026-02-06T05:07:55.271639Z,0.6149,1.8431,0.005,32,50,U0008
w6ahf7vp,data-preprocessing,data-preprocessing_run_3,running,2026-02-24T00:08:55.271639Z,0.6186,0.8977,0.005,16,5,U0008
vasifpwi,data-preprocessing,data-preprocessing_run_4,finished,2026-02-09T12:10:55.271639Z,0.8042,0.7851,0.0001,128,50,U0001
w9ja2m0w,data-preprocessing,data-preprocessing_run_5,running,2026-02-07T23:07:55.271639Z,0.6173,1.1374,0.0005,128,50,U0003
3c1qkbhb,data-preprocessing,data-preprocessing_run_6,failed,2026-02-14T20:23:55.271639Z,0.8118,0.5813,0.0005,64,20,U0001
5len606n,data-preprocessing,data-preprocessing_run_7,failed,2026-02-15T10:44:55.271639Z,0.7433,1.6149,0.001,16,50,U0002
p9gkdlkq,data-preprocessing,data-preprocessing_run_8,running,2026-02-25T10:47:55.271639Z,0.7371,0.1805,0.001,128,20,U0001
cwn2y8fv,data-preprocessing,data-preprocessing_run_9,running,2026-03-02T05:11:55.271639Z,0.692,1.3258,0.001,128,5,U0010
fqnpcenl,data-preprocessing,data-preprocessing_run_10,finished,2026-02-01T06:14:55.271639Z,0.8869,1.0482,0.005,16,20,U0005
zhwy9hec,data-preprocessing,data-preprocessing_run_11,finished,2026-02-08T19:10:55.271639Z,0.9161,1.9384,0.001,64,5,U0009
t64z7w2s,data-preprocessing,data-preprocessing_run_12,finished,2026-02-25T05:00:55.271639Z,0.9082,0.1499,0.001,128,10,U0010
5cozroou,data-preprocessing,data-preprocessing_run_13,finished,2026-02-20T13:11:55.271639Z,0.7755,1.3922,0.001,32,10,U0003
p6befflz,data-preprocessing,data-preprocessing_run_14,finished,2026-01-31T16:18:55.271639Z,0.7108,0.2498,0.0005,64,10,U0005
wdxvugw6,data-preprocessing,data-preprocessing_run_15,finished,2026-02-01T15:13:55.271639Z,0.9218,0.1539,0.0001,64,10,U0010
oxrwk8r2,data-preprocessing,data-preprocessing_run_16,finished,2026-02-21T19:11:55.271639Z,0.8686,0.4004,0.005,128,50,U0004
mf5l9mo1,data-preprocessing,data-preprocessing_run_17,finished,2026-02-27T23:00:55.271639Z,0.7819,0.6082,0.0005,32,5,U0001
knwi5flu,data-preprocessing,data-preprocessing_run_18,finished,2026-02-07T03:44:55.271639Z,0.9884,0.9869,0.001,128,5,U0002
8s8hmbr5,data-preprocessing,data-preprocessing_run_19,finished,2026-02-15T23:41:55.271639Z,0.6032,0.3042,0.0005,64,20,U0007
nouhtcs1,data-preprocessing,data-preprocessing_run_20,finished,2026-02-11T11:36:55.271639Z,0.6463,1.9527,0.005,64,20,U0009
