message_id,from_contact_id,to_contact_id,timestamp,body
m-096,c-005,c-036,2025-02-16T14:12:00Z,Can you review the deck?
m-097,c-100,c-044,2025-02-17T15:19:00Z,Sure will do by EOD.
m-098,c-049,c-030,2025-02-18T16:26:00Z,Thanks for the quick turnaround.
m-099,c-039,c-057,2025-02-19T08:33:00Z,"Bug reproduced, filing ticket."
m-100,c-113,c-042,2025-02-20T09:40:00Z,Meeting moved to 3pm.
m-101,c-063,c-110,2025-02-21T10:47:00Z,Customer escalation — needs urgent triage.
m-102,c-015,c-008,2025-02-22T11:54:00Z,Please approve the expense report.
m-103,c-086,c-075,2025-02-23T12:01:00Z,Please approve the expense report.
m-104,c-088,c-036,2025-02-24T13:08:00Z,Can we sync tomorrow?
m-105,c-064,c-026,2025-02-25T14:15:00Z,Meeting moved to 3pm.
m-106,c-059,c-022,2025-02-26T15:22:00Z,Build is green.
m-107,c-059,c-091,2025-02-27T16:29:00Z,Can you review the deck?
m-108,c-092,c-080,2025-02-01T08:36:00Z,"Pushed the fix, please re-test."
m-109,c-004,c-069,2025-02-02T09:43:00Z,Following up on the proposal.
m-110,c-105,c-071,2025-02-03T10:50:00Z,Doc review pending your comments.
m-111,c-029,c-056,2025-02-04T11:57:00Z,Sure will do by EOD.
m-112,c-002,c-092,2025-02-05T12:04:00Z,Doc review pending your comments.
m-113,c-101,c-080,2025-02-06T13:11:00Z,Sure will do by EOD.
m-114,c-074,c-041,2025-02-07T14:18:00Z,"Pushed the fix, please re-test."
m-115,c-067,c-076,2025-02-08T15:25:00Z,Customer escalation — needs urgent triage.
m-116,c-006,c-065,2025-02-09T16:32:00Z,Customer escalation — needs urgent triage.
m-117,c-018,c-089,2025-02-10T08:39:00Z,Can we sync tomorrow?
m-118,c-060,c-009,2025-02-11T09:46:00Z,Can you review the deck?
m-119,c-112,c-052,2025-02-12T10:53:00Z,Sure will do by EOD.
m-120,c-041,c-119,2025-02-13T11:00:00Z,Out of office until Monday.
m-121,c-081,c-090,2025-02-14T12:07:00Z,Can we sync tomorrow?
m-122,c-039,c-102,2025-02-15T13:14:00Z,"Pushed the fix, please re-test."
m-123,c-006,c-055,2025-02-16T14:21:00Z,"Pushed the fix, please re-test."
m-124,c-028,c-084,2025-02-17T15:28:00Z,Out of office until Monday.
m-125,c-095,c-019,2025-02-18T16:35:00Z,Doc review pending your comments.
m-126,c-053,c-055,2025-02-19T08:42:00Z,Thanks for the quick turnaround.
m-127,c-094,c-031,2025-02-20T09:49:00Z,Can we sync tomorrow?
m-128,c-092,c-050,2025-02-21T10:56:00Z,Thanks for the quick turnaround.
m-129,c-059,c-018,2025-02-22T11:03:00Z,Can we sync tomorrow?
m-130,c-012,c-100,2025-02-23T12:10:00Z,Out of office until Monday.
m-131,c-055,c-029,2025-02-24T13:17:00Z,Can we sync tomorrow?
m-132,c-050,c-083,2025-02-25T14:24:00Z,Onboarding doc attached.
m-133,c-018,c-033,2025-02-26T15:31:00Z,"Bug reproduced, filing ticket."
m-134,c-025,c-083,2025-02-27T16:38:00Z,Customer escalation — needs urgent triage.
m-135,c-073,c-027,2025-02-01T08:45:00Z,Onboarding doc attached.
m-136,c-096,c-003,2025-02-02T09:52:00Z,Onboarding doc attached.
m-137,c-068,c-023,2025-02-03T10:59:00Z,Onboarding doc attached.
m-138,c-099,c-006,2025-02-04T11:06:00Z,Sure will do by EOD.
m-139,c-095,c-104,2025-02-05T12:13:00Z,The deploy is blocked on a failing test.
m-140,c-108,c-078,2025-02-06T13:20:00Z,Can we sync tomorrow?
m-141,c-036,c-073,2025-02-07T14:27:00Z,Following up on the proposal.
m-142,c-067,c-025,2025-02-08T15:34:00Z,Onboarding doc attached.
m-143,c-049,c-015,2025-02-09T16:41:00Z,The deploy is blocked on a failing test.
m-144,c-028,c-024,2025-02-10T08:48:00Z,Please approve the expense report.
m-145,c-070,c-097,2025-02-11T09:55:00Z,Please approve the expense report.
m-146,c-077,c-016,2025-02-12T10:02:00Z,Customer escalation — needs urgent triage.
m-147,c-015,c-038,2025-02-13T11:09:00Z,Customer escalation — needs urgent triage.
m-148,c-030,c-042,2025-02-14T12:16:00Z,Can you review the deck?
m-149,c-041,c-095,2025-02-15T13:23:00Z,Customer escalation — needs urgent triage.
m-150,c-054,c-010,2025-02-16T14:30:00Z,Doc review pending your comments.
