InvoiceNo,TotalAmount
536945,309.53999999999996
536946,841.9399999999999
536947,686.4
536954,425.0
536956,304.95
536957,791.7000000000002
536960,225.65
536967,76.5
536968,534.0
536969,528.0
536970,1314.0
536971,248.15999999999997
536972,230.25000000000003
536973,736.28
536974,336.24
536975,1705.6500000000003
536976,149.79999999999998
536977,108.78
536980,591.4699999999999
536981,101.13999999999999
536982,10661.69
536983,175.53
536984,339.5399999999999
536985,334.3
536986,124.14
536987,272.01
536988,254.39
536989,115.7
536990,131.8
536991,26.4
536992,91.8
536993,110.35000000000001
536994,98.50000000000001
536995,0.0
536996,0.0
536997,0.0
536998,0.0
536999,0.0
537000,0.0
537001,0.0
537002,0.0
537003,0.0
537004,0.0
537005,0.0
537006,0.0
537007,0.0
537008,0.0
537009,0.0
537010,0.0
537011,0.0
537012,0.0
537013,0.0
537014,0.0
537015,0.0
537016,0.0
537017,0.0
537018,0.0
537019,0.0
537020,0.0
537021,0.0
537022,427.8
537023,122.15
537025,76.83
537026,346.09999999999997
537027,0.0
537028,0.0
537029,0.0
537030,246.3
537031,135.0
537032,0.0
537034,2355.1800000000003
537035,11.6
537036,135.32999999999998
537037,256.9
537038,535.75
537040,734.3999999999999
537041,155.63999999999996
537042,238.10999999999996
537044,431.45
537045,126.43
537046,277.45
537047,326.6
537048,5.9
537049,277.65
537050,555.84
537051,350.67999999999995
537052,552.24
537053,275.8
537054,152.04999999999998
537055,273.28999999999996
537057,274.67
537058,351.43000000000006
537059,127.98
537065,1526.92
537067,27.45
537077,179.64
537081,1145.06
537086,438.0
537090,15.0
537111,180.44000000000003
537117,204.0
537126,475.86
537127,408.0
537128,211.74
537129,301.11999999999995
537130,114.65
537131,547.0999999999999
537133,206.23
537134,163.49
537135,722.3599999999999
537136,273.76
537137,535.6
537138,273.29999999999995
537139,33.15
537140,70.41999999999999
537141,517.65
537142,41.45
537144,343.28
537153,623.7500000000001
537154,1021.45
537155,75.64000000000001
537156,251.25
537158,184.79999999999998
537159,292.95
537160,283.15
537163,384.72
537176,131.5
537179,806.2800000000002
537192,211.8
537193,460.5999999999999
537194,271.2
537195,650.64
537196,411.41999999999996
537197,286.49999999999994
537198,85.5
537199,156.73999999999995
537200,112.9
537201,1631.3
537202,269.7
537204,198.43
537205,165.85999999999999
537206,85.55000000000001
537207,188.77
537208,297.91999999999996
537209,192.68
537210,209.83999999999997
537211,355.75
537212,473.39
537213,8.649999999999999
537214,1668.2
537215,358.55999999999995
537216,569.5
537217,167.20000000000002
537218,320.08000000000004
537219,423.5199999999999
537220,3.35
537221,37.35
537222,133.48
537223,164.70000000000002
537224,1415.97
537225,496.48
537226,113.47999999999999
537227,922.4
537228,25.200000000000003
537229,17.4
537230,2.95
537231,308.8
537233,353.00000000000006
537235,2567.64
537236,375.69000000000005
537237,7335.450000000001
537238,164.2
537239,210.19
537240,7660.48
537241,364.91999999999996
537242,412.22
537243,50.400000000000006
537244,300.66
537245,58.2
537246,129.4
537247,223.68
537248,56.25
537249,33.0
537250,196.44
537252,26.349999999999998
537253,351.46999999999997
537254,382.69
537255,303.5
537256,2263.7999999999997
537257,142.5
537258,142.25
537262,611.51
537265,270.72
537298,153.5
537301,102.66
537312,311.24
537313,123.15
537332,322.8
537334,430.72999999999996
537335,98.70000000000002
537346,673.37
537350,419.05999999999995
537351,116.07999999999998
537354,133.07
537359,184.10000000000002
537360,76.32000000000001
537361,0.0
537362,392.62
537363,0.0
537364,0.0
537365,449.95
537366,308.05
537367,25.200000000000003
537368,377.50000000000006
537369,252.8
537370,379.69999999999993
537371,185.97
537372,198.35000000000002
537374,381.64
537375,358.82
537376,480.68
537377,270.52
537378,784.15
537380,100.80000000000001
537381,511.56
537382,375.47
537384,122.7
537385,125.10000000000002
537386,20.85
537387,222.17999999999998
537388,391.5
537389,149.0
537390,123.24
537391,554.66
537392,166.15
537393,2415.0400000000004
537394,81.18
537395,150.21999999999997
537396,292.84000000000003
537397,244.2
537399,427.7399999999999
537400,422.81
537401,0.0
537403,30.450000000000003
537404,56.85
537405,406.68999999999994
537407,192.7
537409,406.15999999999997
537410,151.20000000000002
537411,9.65
537412,177.60000000000002
537415,227.40000000000003
537418,137.10999999999996
537419,510.95000000000005
537420,335.3
537421,292.53999999999996
537422,217.54999999999998
537423,166.0
537424,92.55000000000001
537425,0.0
537426,0.0
537427,0.0
537428,450.91999999999996
537429,82.11999999999999
537430,0.0
537432,0.0
537433,417.62
537434,8223.4
537435,221.50000000000003
537436,0.0
537437,0.0
537438,0.0
537439,0.0
537440,214.32
537441,540.0
537442,5.07
537446,569.0300000000001
537447,151.3
537448,39.599999999999994
537449,0.0
537450,0.0
537451,0.0
537452,0.0
537453,0.0
537454,0.0
537455,0.0
537456,1989.2399999999998
537457,1644.9399999999996
537458,293.45
537459,178.4
537460,326.4
537461,510.0
537462,172.64999999999998
537463,1033.52
537464,618.07
537465,454.6
537466,0.0
537467,118.25
537468,415.46000000000004
537469,102.0
537470,111.25
537471,17.85
537472,111.54
537476,957.5
537484,1830.0199999999998
537489,511.8
537509,532.8000000000001
537523,159.54999999999998
537534,924.59
537538,311.65000000000003
537567,181.11999999999995
537592,327.4000000000001
537593,571.0
537594,596.8
537595,118.32
537598,319.0
537599,19.9
537601,108.78
537603,373.49
537604,1381.9199999999996
537605,166.74
537606,631.6499999999999
537607,156.19
537608,444.42
537609,617.12
537612,322.3
537614,322.79999999999995
537615,139.0
537616,15.9
537617,177.26
537618,2022.16
537619,230.4
537620,97.8
537621,19.5
537622,165.94000000000003
537623,383.93000000000006
537624,306.84000000000003
537625,87.5
537626,711.79
537627,713.88
537628,378.75
537629,356.87
537631,17.4
537632,13541.33
537633,24.9
537634,231.9
537635,68.1
537636,172.0
537637,15.7
537638,6293.86
537639,0.0
537640,11540.34
537641,1240.19
537642,2164.51
537643,2416.5900000000006
537645,2448.29
537646,406.6
537648,402.60999999999996
537649,112.6
537650,289.35
537653,268.72999999999996
537654,135.04999999999998
537655,111.15
537657,9639.119999999999
537658,395.76
537659,15885.49
537664,46.8
537665,139.86
537666,5058.04
537667,326.4
537668,48.800000000000004
537669,164.25
537670,514.39
537671,328.45000000000005
537672,328.01
537673,522.7
537674,319.17999999999995
537675,5.04
537676,258.9
537678,356.91
537679,24.59
537680,253.24
537681,304.2
537682,99.6
537683,365.4
537685,204.87
537686,225.0
537687,0.0
537688,702.1
537689,301.52
537690,329.36
537691,310.57
537692,671.2099999999999
537693,173.55
537694,158.25
537698,468.68
537700,309.0
537707,303.85999999999996
537738,287.08
537743,151.95000000000002
537751,38.8
537754,157.60000000000002
537755,411.43999999999994
537757,314.1
537758,105.72
537759,203.64
537760,307.82
537761,19.799999999999997
537762,569.4000000000001
537764,145.93
537765,215.87999999999994
537766,651.6000000000001
537767,350.4
537768,39.0
537769,205.64
537770,295.66
537771,450.92
537772,316.46
537773,382.2700000000001
537774,281.0
537775,910.1400000000002
537780,127.05000000000001
537781,513.5999999999999
537789,623.42
537791,147.39999999999998
537792,148.23000000000002
537793,2746.7499999999995
537794,414.42999999999995
537795,312.90000000000003
537796,405.16
537799,142.95
537800,69.79
537801,403.25
537802,692.9399999999999
537803,89.5
537804,130.64000000000001
537806,372.97
537808,251.09000000000003
537809,118.30000000000001
537810,23.85
537811,268.86
537813,376.30000000000007
537815,300.7
537816,129.75
537817,168.6
537818,1149.29
537819,397.59999999999997
537822,566.95
537823,6073.71
537825,222.5
537826,272.34000000000003
537827,63.0
537828,478.89
537829,525.8
537830,197.8
537831,106.77000000000001
537833,590.0
537836,103.67999999999999
537837,313.72
537839,12.870000000000001
537840,305.45000000000005
537841,320.0
537842,159.51
537843,171.15
537844,190.34
537845,71.4
537846,201.59999999999997
537847,180.4
537848,180.0
537849,75.0
537850,318.84000000000003
537851,356.4
537852,2671.2699999999995
537854,154.79999999999998
537855,263.25
537858,24.95
537859,670.55
537861,120.65
537862,111.52999999999999
537863,5.95
537864,336.94
537865,237.95
537866,676.1
537867,307.25
537868,1867.98
537870,0.0
537871,167.09
537872,0.0
537873,0.0
537874,0.0
537875,0.0
537876,0.0
537877,0.0
537878,0.0
537879,213.3
537880,365.8
537881,956.5000000000001
537882,141.95
537883,63.0
537884,525.93
537885,258.75
537886,209.29999999999998
537887,1485.7200000000003
537888,524.3500000000001
537889,670.48
537890,100.19999999999999
537891,88.8
537892,159.38
537894,464.60999999999996
537895,429.24
537896,258.95000000000005
537897,213.88000000000005
537898,364.40000000000003
537899,3794.3999999999996
537900,382.65999999999997
537901,309.4
537915,254.03
537955,371.69999999999993
537963,308.28
537967,57.6
537981,1335.2
537995,295.1
537999,0.0
538000,101.9
538001,0.0
538002,363.53
538003,1281.5000000000002
538004,0.0
538005,832.8
538006,163.2
538007,174.4
538008,849.2
538009,945.55
538010,226.79999999999998
538011,257.22
538012,224.38
538013,114.79000000000002
538014,656.7
538015,224.07
538032,174.39999999999998
538035,372.09
538036,0.0
538037,112.6
538038,0.0
538039,0.0
538040,325.76
538041,0.0
538042,0.0
538043,0.0
538044,21.299999999999997
538045,0.0
538046,0.0
538047,0.0
538048,181.0
538049,18.4
538050,15.9
538051,205.34999999999997
538053,1571.3200000000002
538054,0.0
538055,0.0
538056,249.65
538057,316.82
538058,0.0
538060,5.85
538061,0.0
538063,1914.2400000000002
538064,111.75
538065,428.6
538067,165.65
538068,300.91999999999996
538069,414.87999999999994
538070,103.7
538071,7268.65
538072,0.0
538073,16.21
538074,0.0
538076,272.36
538077,686.1500000000001
538078,374.25000000000006
538079,394.18000000000006
538080,251.00000000000003
538086,378.53
538087,60.0
538090,0.0
538092,0.0
538093,739.05
538094,186.03
538095,174.71999999999997
538096,3.7199999999999998
538097,315.0
538101,230.10000000000002
538104,190.35
538106,72.82000000000001
538107,155.0
538108,249.86
538113,289.85
538116,685.0000000000001
538117,60.0
538120,144.5
538125,30.0
538126,218.4
538127,7.5
538128,0.0
538129,0.0
538130,0.0
538131,0.0
538132,0.0
538133,0.0
538134,0.0
538135,0.0
538136,0.0
538137,0.0
538138,0.0
538139,0.0
538140,0.0
538141,0.0
538142,0.0
538143,0.0
538144,0.0
538145,383.0700000000001
538146,402.31999999999994
538147,15.0
538148,2215.27
538149,2446.16
538151,441.6
538153,3091.82
538154,294.01
538155,182.01999999999998
538156,620.3499999999999
538157,119.65000000000002
538158,0.0
538159,0.0
538160,0.0
538161,0.0
538162,0.0
538163,257.95
538165,185.82
538166,119.44999999999999
538167,298.95
538168,318.7
538169,93.45000000000002
538170,317.59000000000003
538171,300.64
538172,370.80000000000007
538173,0.0
538174,1982.4099999999999
538175,378.0
538176,402.0
538177,6272.01
538178,157.9
538179,17.700000000000003
538180,369.09999999999997
538181,151.5
538182,115.08
538183,651.8299999999999
538184,458.91999999999996
538185,188.98000000000002
538186,201.75000000000003
538187,218.1
538188,2.95
538190,127.90000000000002
538191,5375.279999999999
538192,135.0
538193,67.5
538194,0.95
538195,337.5
538196,1071.9
538197,124.1
538198,919.8000000000001
538199,182.24999999999997
538200,95.25000000000003
538201,203.10000000000002
538202,274.72999999999996
538203,186.60000000000002
538204,428.76
538205,336.15999999999997
538206,236.92000000000002
538207,271.46999999999997
538208,111.8
538209,185.06
538210,523.86
538211,239.70000000000002
538216,254.4
538240,247.55999999999997
538241,0.0
538247,0.0
538248,139.68
538249,0.0
538250,132.65
538252,219.10000000000002
538255,1156.05
538260,300.65
538263,228.11999999999998
538268,116.9
538279,686.16
538280,612.1
538283,10.29
538288,1.9
538296,309.40000000000003
538306,202.5
538307,213.26000000000002
538308,363.24
538309,114.45000000000002
538310,25.799999999999997
538311,311.95
538312,272.81999999999994
538313,1136.3200000000002
538327,401.91999999999996
538342,39.949999999999996
538343,385.58000000000004
538345,106.4
538346,756.4500000000002
538347,317.5
538348,0.0
538349,6602.3099999999995
538351,12633.670000000002
538352,173.7
538353,3762.66
538354,2157.6400000000003
538355,9.9
538356,966.62
538358,21.7
538359,0.0
538360,0.0
538361,158.0
538363,156.64999999999998
538364,102.35000000000001
538365,338.5999999999999
538366,275.3
538367,664.01
538368,147.09
538369,283.28
538370,550.5
538371,350.23999999999995
538374,193.21999999999997
538378,346.90000000000003
538379,212.59999999999997
538382,214.23999999999998
538397,3590.59
538403,324.22
538409,126.28
538417,106.75
538418,172.70999999999998
538419,170.90999999999997
538420,293.76000000000005
538421,110.91000000000001
538437,110.1
538449,452.99
538453,330.91999999999996
538470,11.6
538473,177.66
538488,212.08
538497,168.35999999999999
538499,388.65
538501,11.9
538503,513.64
538504,168.15
538507,767.37
538508,863.3899999999999
538509,122.7
538510,169.47
538511,214.74
538512,135.39999999999998
538513,179.10000000000002
538514,835.95
538515,1393.56
538516,204.0
538517,320.28000000000003
538518,1050.35
538519,31.299999999999997
538520,23.3
538521,339.40000000000003
538522,539.2
538523,384.55
538524,5344.98
538525,881.0099999999999
538526,1206.72
538527,418.9200000000001
538528,103.5
538529,777.5600000000001
538532,318.85
538533,357.61
538534,40.8
538535,127.00000000000001
538537,347.71000000000004
538541,540.9499999999999
538557,27.8
538558,309.72
538565,1.9
538566,4909.89
538567,302.1
538576,166.21999999999997
538591,310.8
538592,230.10000000000002
538593,476.76
538594,218.1
538596,168.0
538597,171.04
538625,1121.92
538626,767.6
538627,14.439999999999998
538629,223.48000000000002
538630,1167.4100000000003
538631,689.0400000000001
538633,129.57000000000002
538634,491.24
538635,250.03999999999996
538636,676.54
538637,244.19000000000003
538638,232.01
538639,243.00000000000003
538640,145.0
538641,1485.78
538644,12.45
538645,310.74
538646,346.14000000000004
538648,760.32
538649,14.149999999999999
538651,280.94
538652,476.96000000000004
538653,1247.64
538654,91.9
538655,109.71000000000001
538656,97.63
538657,201.4
538658,125.2
538659,585.53
538660,1228.4
538661,309.05
538662,1822.88
538663,38.1
538664,1695.1200000000001
538665,177.35000000000002
538666,12.850000000000001
538667,1.9
538668,110.7
538669,0.95
538671,365.54999999999995
538678,67.72
538679,150.68
538683,462.3
538685,15.0
538687,650.0999999999999
538688,148.36
538689,300.91999999999996
538697,101.99999999999999
538706,312.40000000000003
538707,167.85999999999999
538708,365.27
538709,151.65999999999994
538710,198.95000000000002
538714,275.45
538715,325.22
538716,17.4
538719,60.0
538721,11.8
538722,307.38999999999993
538724,2.95
538744,215.32
538753,134.64999999999998
538778,39.45
538783,976.7000000000003
538785,206.0
538795,293.85
538796,304.50000000000006
538797,10.5
538799,706.2500000000001
538800,193.90000000000003
538801,337.97999999999996
538807,252.62
538808,632.5200000000001
538809,306.52000000000004
538810,140.39999999999998
538811,710.0
538812,74.25
538814,324.71999999999997
538815,179.87000000000003
538816,479.3500000000001
538817,301.2
538826,1590.82
538827,2594.7599999999998
538828,231.83999999999997
538829,326.4
538830,146.46
538831,337.6
538832,413.78999999999996
538836,234.85999999999996
538837,0.0
538839,305.78999999999996
538841,170.55
538843,154.05
538844,1194.52
538845,92.82
538846,11.0
538848,1188.0
538849,875.1800000000001
538850,147.35
538851,310.85
538852,198.07000000000005
538853,214.76999999999995
538854,357.1
538855,488.09
538856,293.4
538857,152.39999999999998
538858,951.24
538859,658.2
538860,115.35
538861,0.0
538862,149.50000000000003
538863,341.66
538864,360.06000000000006
538865,91.15
538866,647.9900000000001
538867,3.75
538868,824.02
538869,61.05
538870,85.75
538871,476.70000000000005
538872,304.9
538873,0.0
538875,307.8
538877,12681.580000000002
538878,267.0
538879,338.98
538880,638.74
538881,718.35
538883,1308.6300000000003
538884,518.73
538885,20.25
538886,411.40000000000003
538888,125.56
538890,362.79
538892,17.4
538894,202.45000000000002
538895,247.38
538896,302.78
538899,123.1
538900,366.77
538901,238.64999999999998
538902,306.18000000000006
538903,501.01
538905,303.15000000000003
538906,0.0
538907,202.79999999999998
538908,346.8
538909,97.50000000000001
538910,165.85
538917,684.2600000000001
538935,186.64000000000001
538942,101.23
538943,253.2
538944,201.2
538945,1761.2600000000002
538951,206.29000000000002
538967,354.48
538968,303.57
538991,3240.4
538992,428.82
538993,101.2
538994,422.7
538995,1185.8600000000001
538996,332.1
538998,2605.88
538999,1181.0000000000002
539000,185.45
539001,102.0
539002,269.31
539004,336.97999999999996
539005,20.4
539006,102.28
539007,105.88000000000001
539008,307.79999999999995
539009,498.16
539010,247.91000000000005
539011,67.24000000000001
539012,1305.6
539013,38.25
539014,343.26000000000005
539015,440.20000000000005
539016,571.48
539017,15.8
539018,283.53
539019,306.84000000000003
539030,755.3000000000001
539032,74.4
539033,228.6
539034,209.64999999999998
539036,300.87
539038,308.37
539039,1256.32
539040,171.05
539041,243.22
539042,209.07999999999998
539043,392.34
539044,1536.85
539045,19.25
539046,295.2
539047,219.6
539048,80.64
539049,1048.6399999999999
539050,195.89
539051,14.850000000000001
539052,17.700000000000003
539053,203.59999999999997
539056,1.45
539064,58.7
539070,19.9
539074,55.5
539075,227.22
539076,391.0
539077,314.54999999999995
539078,379.68
539079,271.05
539080,404.82
539081,2.95
539082,205.79999999999998
539083,32.25
539084,190.35000000000002
539085,164.64
539086,397.96
539087,1168.2
539088,1827.91
539089,186.00000000000003
539091,163.8
539092,527.04
539093,196.60000000000002
539094,157.35
539095,300.46
539096,313.2
539098,395.15999999999997
539099,403.61000000000007
539101,6929.999999999999
539102,1431.6
539103,933.3199999999999
539105,212.32999999999998
539106,920.5200000000001
539107,211.2
539108,204.0
539109,1491.0
539111,217.2
539112,328.77
539113,4.949999999999999
539118,270.19000000000005
539142,164.6
539143,46.45
539144,889.32
539160,311.64
539181,135.44
539185,216.34
539196,750.6399999999999
539201,322.01
539211,430.28
539212,298.25
539213,150.05999999999997
539214,141.29999999999998
539215,210.74999999999997
539216,16.15
539217,587.6600000000001
539218,3.75
539219,114.00000000000001
539220,118.33999999999999
539222,305.70000000000005
539223,2.5
539225,1491.46
539226,147.75
539240,843.78
539242,36.08
539243,172.19999999999996
539245,81.99000000000001
539246,104.47999999999999
539247,228.5
539248,133.56
539249,314.1
539250,1085.4599999999996
539252,377.52
539254,243.11999999999998
539255,308.22
539256,468.07
539257,1722.9
539259,301.43999999999994
539261,424.49
539262,351.3
539263,332.18
539264,310.47999999999996
539265,4.95
539266,131.3
539267,253.5
539268,29.700000000000003
539269,46.85
539272,97.24000000000001
539275,403.79999999999995
539280,76.55
539281,476.35
539282,131.4
539283,250.65000000000003
539285,105.53999999999999
539286,252.2
539288,5.5
539290,133.22
539292,304.90000000000003
539293,501.69
539294,356.35
539295,348.79999999999995
539296,75.78
539297,147.89999999999998
539298,136.25
539299,218.85
539300,72.59
539303,436.86
539304,302.40000000000003
539305,320.15000000000003
539306,112.15
539307,2054.92
539308,250.45999999999998
539309,279.85
539310,15.0
539311,357.94
539312,556.5
539313,312.98
539314,540.45
539315,230.70000000000002
539316,97.3
539317,312.41
539318,892.8
539319,292.5
539320,707.06
539321,220.05999999999992
539322,126.9
539323,3.42
539324,124.51
539325,357.00999999999993
539326,408.16999999999996
539327,198.3
539328,300.04
539330,277.2
539331,216.0
539332,144.0
539333,311.19000000000005
539334,25.95
539335,320.1
539336,115.9
539337,670.3800000000001
539338,2646.3
539351,168.0
539353,463.49999999999994
539374,347.01
539379,177.15
539391,291.34
539395,1484.25
539398,29.700000000000003
539400,53.400000000000006
539401,792.99
539403,224.8
539404,108.91999999999997
539405,919.0400000000001
539406,214.20000000000002
539407,170.27999999999997
539408,183.74
539410,102.0
539411,258.7
539412,16.85
539413,0.0
539414,212.61
539415,316.58
539416,29.43
539417,72.0
539418,135.12
539419,415.7
539420,158.16000000000003
539421,753.74
539422,190.54999999999998
539423,148.95
539434,4700.4
539435,180.0
539436,4390.32
539437,5946.49
539439,323.61999999999995
539440,250.0
539441,0.42
539442,311.15000000000003
539443,668.88
539444,1241.43
539445,323.38
539446,858.0
539447,333.82
539449,5.05
539450,196.75
539451,4537.15
539452,741.22
539453,5022.16
539454,196.78
539455,121.02
539456,190.64999999999998
539457,29.799999999999997
539458,52.75
539459,334.84
539460,33.0
539461,259.55
539462,315.56
539463,191.45999999999998
539464,218.04999999999998
539465,2062.44
539466,469.87
539468,663.8000000000001
539469,283.52
539470,279.88
539471,246.7
539472,31.62
539473,411.09999999999997
539474,12.8
539475,364.97999999999996
539477,365.7300000000001
539478,193.64
539479,17.55
539480,18.65
539481,11.7
539482,49.67
539483,99.5
539484,947.1899999999998
539485,19.95
539487,215.01
539488,1001.52
539489,311.7
539490,306.15000000000003
539491,70.96000000000001
539492,2529.81
539493,41.81
539494,0.0
539495,0.0
539496,269.5
539497,286.95
539498,290.51
539500,205.74
539501,287.45000000000005
539502,383.52000000000004
539551,286.59999999999997
539561,339.72
539564,756.12
539567,101.76
539570,327.59999999999997
539571,15.9
539572,433.5
539578,1440.0
539579,344.11
539580,289.74
539581,455.59999999999997
539582,0.0
539583,0.0
539584,0.0
539585,0.0
539586,962.2399999999999
539587,754.1599999999997
539588,138.85000000000002
539590,832.08
539591,237.60000000000002
539592,14.850000000000001
539593,776.95
539594,239.39999999999998
539595,2094.8999999999996
539597,61.199999999999996
539604,102.0
539607,1084.5900000000001
539609,221.39999999999998
539610,109.88
539611,0.0
539628,182.52
539629,239.89999999999998
539630,751.0
539631,2104.0
539633,73.80000000000001
539634,144.5
539635,728.04
539636,631.96
539637,112.68
539638,0.0
539639,37.67
539641,134.14
539642,242.92
539643,10.350000000000001
539645,0.95
539646,28.5
539647,216.76
539648,7.4
539649,42.120000000000005
539650,96.44
539651,32.5
539653,658.38
539654,1689.12
539656,2.1
539658,302.95000000000005
539659,842.9000000000002
539660,9.2
539662,117.60000000000001
539663,396.84999999999997
539664,25.200000000000003
539665,2.9
539666,479.4
539675,114.60000000000001
539676,237.92999999999998
539688,150.0
539708,1121.38
539713,10.5
539714,2.55
539715,1.25
539716,148.0
539717,65.4
539718,1261.19
539720,97.84
539721,324.0
539722,762.3000000000001
539723,434.0
539724,382.5
539725,182.18999999999997
539727,71.28
539728,1141.2399999999996
539729,7.95
539730,193.15
539731,8520.92
539732,29.700000000000003
539733,47.74999999999999
539734,7.95
539735,596.34
539736,1172.46
539737,1805.29
539738,1736.26
539739,1077.8
539740,1041.32
539741,475.65
539742,392.7199999999999
539743,365.26
539744,579.6999999999999
539745,457.32
539746,155.83
539747,136.89
539748,76.91999999999999
539749,0.0
539750,18745.86
539751,4.25
539752,383.70000000000005
539753,62.78999999999999
539754,69.29
539755,45.35
539758,4.25
539759,2.1
539760,424.1700000000001
539761,662.9
539762,500.0
539764,433.5
