nct_id,brief_title,official_title,overall_status,study_type,conditions,cache_status,last_fetched_at,full_payload_json
NCT06150977,AI Triage for Sepsis in the ED,Cluster-Randomized Evaluation of an AI-Assisted Triage Tool for Early Sepsis Detection in Emergency Departments,Recruiting,Interventional,Sepsis; Emergency Medicine,full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT06150977"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT06150977"", ""briefTitle"": ""AI Triage for Sepsis in the ED"", ""officialTitle"": ""Cluster-Randomized Evaluation of an AI-Assisted Triage Tool for Early Sepsis Detection in Emergency Departments""}, ""conditionsModule"": {""conditions"": [""Sepsis"", ""Emergency Medicine""]}, ""statusModule"": {""overallStatus"": ""Recruiting""}}}"
NCT04510285,Long COVID Neurocognitive Outcomes Cohort,Prospective Cohort Study of Neurocognitive and Neuropsychiatric Outcomes After SARS-CoV-2 Infection (Long COVID),Recruiting,Observational,Post-Acute Sequelae of SARS-CoV-2; Cognitive Dysfunction; Fatigue,full,2026-07-19T08:55:51Z,"{""protocolSection"": {""identificationModule"": {""nctId"": ""NCT04510285"", ""briefTitle"": ""Long COVID Neurocognitive Outcomes Cohort"", ""officialTitle"": ""Prospective Cohort Study of Neurocognitive and Neuropsychiatric Outcomes After SARS-CoV-2 Infection (Long COVID)""}, ""statusModule"": {""overallStatus"": ""Recruiting"", ""startDateStruct"": {""date"": ""2021-02-16""}, ""completionDateStruct"": {""date"": ""2026-02-28""}, ""lastUpdatePostDateStruct"": {""date"": ""2026-07-09""}}, ""conditionsModule"": {""conditions"": [""Post-Acute Sequelae of SARS-CoV-2"", ""Cognitive Dysfunction"", ""Fatigue""]}, ""designModule"": {""studyType"": ""OBSERVATIONAL"", ""timePerspective"": ""PROSPECTIVE""}}}"
NCT06011844,Home Spirometry Monitoring in Idiopathic Pulmonary Fibrosis,Remote Home Spirometry and Symptom Tracking to Predict Exacerbations in Idiopathic Pulmonary Fibrosis: A Prospective Study,Recruiting,Observational,Idiopathic Pulmonary Fibrosis; Pulmonary Function Decline,full,2026-06-30T20:15:06Z,"{""protocolSection"": {""identificationModule"": {""nctId"": ""NCT06011844"", ""briefTitle"": ""Home Spirometry Monitoring in Idiopathic Pulmonary Fibrosis"", ""officialTitle"": ""Remote Home Spirometry and Symptom Tracking to Predict Exacerbations in Idiopathic Pulmonary Fibrosis: A Prospective Study""}, ""statusModule"": {""overallStatus"": ""Recruiting"", ""startDateStruct"": {""date"": ""2024-02-05""}, ""completionDateStruct"": {""date"": ""2026-12-20""}, ""lastUpdatePostDateStruct"": {""date"": ""2026-06-12""}}, ""conditionsModule"": {""conditions"": [""Idiopathic Pulmonary Fibrosis"", ""Pulmonary Function Decline""]}, ""designModule"": {""studyType"": ""OBSERVATIONAL"", ""timePerspective"": ""PROSPECTIVE""}, ""contactsLocationsModule"": {""locations"": [{""locationCountry"": ""United States""}, {""locationCountry"": ""Australia""}]}}}"
NCT05827419,Semaglutide for NASH With Fibrosis: Real-World Pragmatic Trial,"A Pragmatic, Randomized Study of Once-Weekly Semaglutide for Nonalcoholic Steatohepatitis (NASH) With Stage F2-F3 Fibrosis",Recruiting,Interventional,Nonalcoholic Steatohepatitis; Liver Fibrosis; Metabolic Dysfunction-Associated Steatotic Liver Disease,full,2026-06-03T12:31:47Z,"{""protocolSection"": {""identificationModule"": {""nctId"": ""NCT05827419"", ""briefTitle"": ""Semaglutide for NASH With Fibrosis: Real-World Pragmatic Trial"", ""officialTitle"": ""A Pragmatic, Randomized Study of Once-Weekly Semaglutide for Nonalcoholic Steatohepatitis (NASH) With Stage F2-F3 Fibrosis""}, ""statusModule"": {""overallStatus"": ""Recruiting"", ""startDateStruct"": {""date"": ""2023-11-14""}, ""completionDateStruct"": {""date"": ""2026-08-30""}, ""lastUpdatePostDateStruct"": {""date"": ""2026-05-21""}}, ""conditionsModule"": {""conditions"": [""Nonalcoholic Steatohepatitis"", ""Liver Fibrosis"", ""Metabolic Dysfunction-Associated Steatotic Liver Disease""]}, ""designModule"": {""studyType"": ""INTERVENTIONAL"", ""phases"": [""PHASE3""], ""allocation"": ""RANDOMIZED""}, ""contactsLocationsModule"": {""locations"": [{""locationCountry"": ""United States""}, {""locationCountry"": ""Canada""}]}}, ""derivedSection"": {""miscInfoModule"": {""version"": ""ctgov-v2""}}}"
NCT05733012,mRNA Flu Vaccine in Adults 18-64,A Phase 3 Randomized Study of an mRNA-Based Quadrivalent Influenza Vaccine in Adults Aged 18 to 64 Years,"Active, not recruiting",Interventional,Influenza,full,2026-05-10T04:26:19Z,"{""protocolSection"": {""identificationModule"": {""nctId"": ""NCT05733012"", ""briefTitle"": ""mRNA Flu Vaccine in Adults 18-64"", ""officialTitle"": ""A Phase 3 Randomized Study of an mRNA-Based Quadrivalent Influenza Vaccine in Adults Aged 18 to 64 Years""}, ""statusModule"": {""overallStatus"": ""Active, not recruiting"", ""startDateStruct"": {""date"": ""2023-09-19""}, ""completionDateStruct"": {""date"": ""2025-05-12""}, ""lastUpdatePostDateStruct"": {""date"": ""2025-08-20""}}, ""conditionsModule"": {""conditions"": [""Influenza""]}, ""designModule"": {""studyType"": ""INTERVENTIONAL"", ""phases"": [""PHASE3""]}, ""contactsLocationsModule"": {""locations"": [{""locationCountry"": ""United States""}, {""locationCountry"": ""Brazil""}, {""locationCountry"": ""South Africa""}]}}}"
NCT05344196,Digital CBT-I for Chronic Insomnia in Shift Workers,A Randomized Trial of Digital Cognitive Behavioral Therapy for Insomnia (CBT-I) in Healthcare Shift Workers,Recruiting,Interventional,Insomnia; Shift Work Sleep Disorder,full,2026-02-28T23:07:32Z,"{""protocolSection"": {""identificationModule"": {""nctId"": ""NCT05344196"", ""briefTitle"": ""Digital CBT-I for Chronic Insomnia in Shift Workers"", ""officialTitle"": ""A Randomized Trial of Digital Cognitive Behavioral Therapy for Insomnia (CBT-I) in Healthcare Shift Workers""}, ""statusModule"": {""overallStatus"": ""Recruiting"", ""startDateStruct"": {""date"": ""2022-10-03""}, ""completionDateStruct"": {""date"": ""2025-06-18""}, ""lastUpdatePostDateStruct"": {""date"": ""2025-12-02""}}, ""conditionsModule"": {""conditions"": [""Insomnia"", ""Shift Work Sleep Disorder""]}, ""designModule"": {""studyType"": ""INTERVENTIONAL"", ""allocation"": ""RANDOMIZED""}}}"
NCT02078648,"Safety and Efficacy Study of SL-701, a Glioma-Associated Antigen Vaccine To Treat Recurrent Glioblastoma Multiforme","A Phase 1/2 Study of SL-701, a Subcutaneously Injected Multivalent Glioma-Associated Antigen Vaccine, in Adult Subjects With Recurrent Glioblastoma Multiforme",COMPLETED,INTERVENTIONAL,Adult Brain Glioblastoma; Glioblastoma Multiforme,full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT02078648"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT02078648"", ""briefTitle"": ""Safety and Efficacy Study of SL-701, a Glioma-Associated Antigen Vaccine To Treat Recurrent Glioblastoma Multiforme"", ""officialTitle"": ""A Phase 1/2 Study of SL-701, a Subcutaneously Injected Multivalent Glioma-Associated Antigen Vaccine, in Adult Subjects With Recurrent Glioblastoma Multiforme""}, ""conditionsModule"": {""conditions"": [""Adult Brain Glioblastoma"", ""Glioblastoma Multiforme""]}, ""statusModule"": {""overallStatus"": ""COMPLETED""}}}"
NCT01454596,CAR T Cell Receptor Immunotherapy Targeting EGFRvIII for Patients With Malignant Gliomas Expressing EGFRvIII,A Phase I/II Study of the Safety and Feasibility of Administering T Cells Expressing Anti-EGFRvIII Chimeric Antigen Receptor to Patients With Malignant Gliomas Expressing EGFRvIII,COMPLETED,INTERVENTIONAL,Malignant Glioma; Glioblastoma; Brain Cancer; Gliosarcoma,full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT01454596"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT01454596"", ""briefTitle"": ""CAR T Cell Receptor Immunotherapy Targeting EGFRvIII for Patients With Malignant Gliomas Expressing EGFRvIII"", ""officialTitle"": ""A Phase I/II Study of the Safety and Feasibility of Administering T Cells Expressing Anti-EGFRvIII Chimeric Antigen Receptor to Patients With Malignant Gliomas Expressing EGFRvIII""}, ""conditionsModule"": {""conditions"": [""Malignant Glioma"", ""Glioblastoma"", ""Brain Cancer"", ""Gliosarcoma""]}, ""statusModule"": {""overallStatus"": ""COMPLETED""}}}"
NCT02766699,"A Study to Evaluate the Safety, Tolerability and Immunogenicity of EGFR(V)-EDV-Dox in Subjects With Recurrent GBM","A Phase 1 Study to Evaluate the Safety, Tolerability, and Immunogenicity of EGFR (Vectibix® Sequence)-Targeted EnGeneIC Dream Vectors Containing Doxorubicin (EGFR(V)-EDV-Dox) in Subjects With Recurrent Glioblastoma Multiforme (GBM)",COMPLETED,INTERVENTIONAL,"Glioblastoma; Astrocytoma, Grade IV",full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT02766699"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT02766699"", ""briefTitle"": ""A Study to Evaluate the Safety, Tolerability and Immunogenicity of EGFR(V)-EDV-Dox in Subjects With Recurrent GBM"", ""officialTitle"": ""A Phase 1 Study to Evaluate the Safety, Tolerability, and Immunogenicity of EGFR (Vectibix® Sequence)-Targeted EnGeneIC Dream Vectors Containing Doxorubicin (EGFR(V)-EDV-Dox) in Subjects With Recurrent Glioblastoma Multiforme (GBM)""}, ""conditionsModule"": {""conditions"": [""Glioblastoma"", ""Astrocytoma, Grade IV""]}, ""statusModule"": {""overallStatus"": ""COMPLETED""}}}"
NCT02529072,Nivolumab With DC Vaccines for Recurrent Brain Tumors,AVeRT: Anti-PD-1 Monoclonal Antibody (Nivolumab) in Combination With DC Vaccines for the Treatment of Recurrent Grade III and Grade IV Brain Tumors,COMPLETED,INTERVENTIONAL,Malignant Glioma; Astrocytoma; Glioblastoma,full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT02529072"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT02529072"", ""briefTitle"": ""Nivolumab With DC Vaccines for Recurrent Brain Tumors"", ""officialTitle"": ""AVeRT: Anti-PD-1 Monoclonal Antibody (Nivolumab) in Combination With DC Vaccines for the Treatment of Recurrent Grade III and Grade IV Brain Tumors""}, ""conditionsModule"": {""conditions"": [""Malignant Glioma"", ""Astrocytoma"", ""Glioblastoma""]}, ""statusModule"": {""overallStatus"": ""COMPLETED""}}}"
